id,category,input_text,sentiment_label,summary,generated_reference
21,technology,My experience with the quantum computer was mediocre.,neutral,Neutral feedback about quantum computer.,The quantum computer was mediocre based on the user's experience.
22,education,My experience with the university program was normal.,neutral,Neutral feedback about university program.,The university program was normal based on the user's experience.
23,education,My experience with the online course was decent.,neutral,Neutral feedback about online course.,The online course was decent based on the user's experience.
24,healthcare,My experience with the hospital experience was loved it.,positive,Positive feedback about hospital experience.,The hospital experience was loved it based on the user's experience.
25,technology,My experience with the quantum computer was awful.,negative,Negative feedback about quantum computer.,The quantum computer was awful based on the user's experience.
26,healthcare,My experience with the diet plan was not bad.,neutral,Neutral feedback about diet plan.,The diet plan was not bad based on the user's experience.
27,food,My experience with the Vegan meal was not bad.,neutral,Neutral feedback about Vegan meal.,The Vegan meal was not bad based on the user's experience.
28,food,My experience with the Pasta was disappointing.,negative,Negative feedback about Pasta.,The Pasta was disappointing based on the user's experience.
29,healthcare,My experience with the fitness tracker was not worth it.,negative,Negative feedback about fitness tracker.,The fitness tracker was not worth it based on the user's experience.
30,entertainment,My experience with the stand-up comedy was terrible.,negative,Negative feedback about stand-up comedy.,The stand-up comedy was terrible based on the user's experience.
31,education,My experience with the online course was satisfying.,positive,Positive feedback about online course.,The online course was satisfying based on the user's experience.
32,technology,My experience with the blockchain technology was average.,neutral,Neutral feedback about blockchain technology.,The blockchain technology was average based on the user's experience.
33,customer_service,My experience with the online support was hated it.,negative,Negative feedback about online support.,The online support was hated it based on the user's experience.
34,entertainment,My experience with the new Marvel movie was enjoyed it.,positive,Positive feedback about new Marvel movie.,The new Marvel movie was enjoyed it based on the user's experience.
35,customer_service,My experience with the delivery service was great.,positive,Positive feedback about delivery service.,The delivery service was great based on the user's experience.
36,entertainment,My experience with the stand-up comedy was annoying.,negative,Negative feedback about stand-up comedy.,The stand-up comedy was annoying based on the user's experience.
37,healthcare,My experience with the medical app was annoying.,negative,Negative feedback about medical app.,The medical app was annoying based on the user's experience.
38,customer_service,My experience with the call center was average.,neutral,Neutral feedback about call center.,The call center was average based on the user's experience.
39,entertainment,My experience with the live concert was fine.,neutral,Neutral feedback about live concert.,The live concert was fine based on the user's experience.
40,technology,My experience with the AI chatbot was not bad.,neutral,Neutral feedback about AI chatbot.,The AI chatbot was not bad based on the user's experience.
41,entertainment,My experience with the stand-up comedy was satisfying.,positive,Positive feedback about stand-up comedy.,The stand-up comedy was satisfying based on the user's experience.
42,technology,My experience with the iPhone 15 was satisfying.,positive,Positive feedback about iPhone 15.,The iPhone 15 was satisfying based on the user's experience.
43,entertainment,My experience with the live concert was bad.,negative,Negative feedback about live concert.,The live concert was bad based on the user's experience.
44,food,My experience with the Pasta was average.,neutral,Neutral feedback about Pasta.,The Pasta was average based on the user's experience.
45,healthcare,My experience with the fitness tracker was fantastic.,positive,Positive feedback about fitness tracker.,The fitness tracker was fantastic based on the user's experience.
46,education,My experience with the online course was not bad.,neutral,Neutral feedback about online course.,The online course was not bad based on the user's experience.
47,healthcare,My experience with the telemedicine was not bad.,neutral,Neutral feedback about telemedicine.,The telemedicine was not bad based on the user's experience.
48,education,My experience with the coding bootcamp was not bad.,neutral,Neutral feedback about coding bootcamp.,The coding bootcamp was not bad based on the user's experience.
49,customer_service,My experience with the hotel staff was boring.,negative,Negative feedback about hotel staff.,The hotel staff was boring based on the user's experience.
50,education,My experience with the online course was terrible.,negative,Negative feedback about online course.,The online course was terrible based on the user's experience.
51,entertainment,My experience with the Netflix series was mediocre.,neutral,Neutral feedback about Netflix series.,The Netflix series was mediocre based on the user's experience.
52,entertainment,My experience with the new Marvel movie was awful.,negative,Negative feedback about new Marvel movie.,The new Marvel movie was awful based on the user's experience.
53,entertainment,My experience with the Netflix series was hated it.,negative,Negative feedback about Netflix series.,The Netflix series was hated it based on the user's experience.
54,education,My experience with the textbook was fantastic.,positive,Positive feedback about textbook.,The textbook was fantastic based on the user's experience.
55,customer_service,My experience with the delivery service was normal.,neutral,Neutral feedback about delivery service.,The delivery service was normal based on the user's experience.
56,education,My experience with the coding bootcamp was disappointing.,negative,Negative feedback about coding bootcamp.,The coding bootcamp was disappointing based on the user's experience.
57,entertainment,My experience with the new Marvel movie was acceptable.,neutral,Neutral feedback about new Marvel movie.,The new Marvel movie was acceptable based on the user's experience.
58,education,My experience with the MOOC was disappointing.,negative,Negative feedback about MOOC.,The MOOC was disappointing based on the user's experience.
59,technology,My experience with the AI chatbot was okay.,neutral,Neutral feedback about AI chatbot.,The AI chatbot was okay based on the user's experience.
60,customer_service,My experience with the delivery service was hated it.,negative,Negative feedback about delivery service.,The delivery service was hated it based on the user's experience.
61,customer_service,My experience with the hotel staff was disappointing.,negative,Negative feedback about hotel staff.,The hotel staff was disappointing based on the user's experience.
62,healthcare,My experience with the fitness tracker was satisfying.,positive,Positive feedback about fitness tracker.,The fitness tracker was satisfying based on the user's experience.
63,education,My experience with the university program was decent.,neutral,Neutral feedback about university program.,The university program was decent based on the user's experience.
64,entertainment,My experience with the new Marvel movie was not worth it.,negative,Negative feedback about new Marvel movie.,The new Marvel movie was not worth it based on the user's experience.
65,technology,My experience with the iPhone 15 was fine.,neutral,Neutral feedback about iPhone 15.,The iPhone 15 was fine based on the user's experience.
66,technology,My experience with the iPhone 15 was fine.,neutral,Neutral feedback about iPhone 15.,The iPhone 15 was fine based on the user's experience.
67,food,My experience with the Vegan meal was not worth it.,negative,Negative feedback about Vegan meal.,The Vegan meal was not worth it based on the user's experience.
68,food,My experience with the Vegan meal was not bad.,neutral,Neutral feedback about Vegan meal.,The Vegan meal was not bad based on the user's experience.
69,technology,My experience with the iPhone 15 was not bad.,neutral,Neutral feedback about iPhone 15.,The iPhone 15 was not bad based on the user's experience.
70,food,My experience with the Burger was fantastic.,positive,Positive feedback about Burger.,The Burger was fantastic based on the user's experience.
71,food,My experience with the Burger was loved it.,positive,Positive feedback about Burger.,The Burger was loved it based on the user's experience.
72,entertainment,My experience with the new Marvel movie was okay.,neutral,Neutral feedback about new Marvel movie.,The new Marvel movie was okay based on the user's experience.
73,technology,My experience with the AI chatbot was decent.,neutral,Neutral feedback about AI chatbot.,The AI chatbot was decent based on the user's experience.
74,customer_service,My experience with the online support was not bad.,neutral,Neutral feedback about online support.,The online support was not bad based on the user's experience.
75,education,My experience with the coding bootcamp was disappointing.,negative,Negative feedback about coding bootcamp.,The coding bootcamp was disappointing based on the user's experience.
76,food,My experience with the Vegan meal was bad.,negative,Negative feedback about Vegan meal.,The Vegan meal was bad based on the user's experience.
77,technology,My experience with the iPhone 15 was loved it.,positive,Positive feedback about iPhone 15.,The iPhone 15 was loved it based on the user's experience.
78,education,My experience with the textbook was great.,positive,Positive feedback about textbook.,The textbook was great based on the user's experience.
79,healthcare,My experience with the diet plan was awesome.,positive,Positive feedback about diet plan.,The diet plan was awesome based on the user's experience.
80,technology,My experience with the self-driving car was superb.,positive,Positive feedback about self-driving car.,The self-driving car was superb based on the user's experience.
81,customer_service,My experience with the delivery service was loved it.,positive,Positive feedback about delivery service.,The delivery service was loved it based on the user's experience.
82,technology,My experience with the quantum computer was hated it.,negative,Negative feedback about quantum computer.,The quantum computer was hated it based on the user's experience.
83,education,My experience with the textbook was enjoyed it.,positive,Positive feedback about textbook.,The textbook was enjoyed it based on the user's experience.
84,education,My experience with the coding bootcamp was fine.,neutral,Neutral feedback about coding bootcamp.,The coding bootcamp was fine based on the user's experience.
85,healthcare,My experience with the telemedicine was superb.,positive,Positive feedback about telemedicine.,The telemedicine was superb based on the user's experience.
86,healthcare,My experience with the medical app was annoying.,negative,Negative feedback about medical app.,The medical app was annoying based on the user's experience.
87,technology,My experience with the self-driving car was not worth it.,negative,Negative feedback about self-driving car.,The self-driving car was not worth it based on the user's experience.
88,healthcare,My experience with the diet plan was boring.,negative,Negative feedback about diet plan.,The diet plan was boring based on the user's experience.
89,customer_service,My experience with the online support was awful.,negative,Negative feedback about online support.,The online support was awful based on the user's experience.
90,technology,My experience with the AI chatbot was normal.,neutral,Neutral feedback about AI chatbot.,The AI chatbot was normal based on the user's experience.
91,food,My experience with the Pasta was fine.,neutral,Neutral feedback about Pasta.,The Pasta was fine based on the user's experience.
92,food,My experience with the Pizza was awful.,negative,Negative feedback about Pizza.,The Pizza was awful based on the user's experience.
93,technology,My experience with the iPhone 15 was fantastic.,positive,Positive feedback about iPhone 15.,The iPhone 15 was fantastic based on the user's experience.
94,healthcare,My experience with the diet plan was boring.,negative,Negative feedback about diet plan.,The diet plan was boring based on the user's experience.
95,education,My experience with the university program was disappointing.,negative,Negative feedback about university program.,The university program was disappointing based on the user's experience.
96,food,My experience with the Burger was satisfying.,positive,Positive feedback about Burger.,The Burger was satisfying based on the user's experience.
97,education,My experience with the textbook was okay.,neutral,Neutral feedback about textbook.,The textbook was okay based on the user's experience.
98,healthcare,My experience with the telemedicine was superb.,positive,Positive feedback about telemedicine.,The telemedicine was superb based on the user's experience.
99,technology,My experience with the iPhone 15 was superb.,positive,Positive feedback about iPhone 15.,The iPhone 15 was superb based on the user's experience.
100,education,My experience with the coding bootcamp was loved it.,positive,Positive feedback about coding bootcamp.,The coding bootcamp was loved it based on the user's experience.
101,technology,My experience with the quantum computer was mediocre.,neutral,Neutral feedback about quantum computer.,The quantum computer was mediocre based on the user's experience.
102,education,My experience with the university program was satisfying.,positive,Positive feedback about university program.,The university program was satisfying based on the user's experience.
103,healthcare,My experience with the fitness tracker was mediocre.,neutral,Neutral feedback about fitness tracker.,The fitness tracker was mediocre based on the user's experience.
104,healthcare,My experience with the diet plan was amazing.,positive,Positive feedback about diet plan.,The diet plan was amazing based on the user's experience.
105,food,My experience with the Vegan meal was superb.,positive,Positive feedback about Vegan meal.,The Vegan meal was superb based on the user's experience.
106,food,My experience with the Burger was annoying.,negative,Negative feedback about Burger.,The Burger was annoying based on the user's experience.
107,entertainment,My experience with the stand-up comedy was amazing.,positive,Positive feedback about stand-up comedy.,The stand-up comedy was amazing based on the user's experience.
108,food,My experience with the Vegan meal was annoying.,negative,Negative feedback about Vegan meal.,The Vegan meal was annoying based on the user's experience.
109,technology,My experience with the iPhone 15 was average.,neutral,Neutral feedback about iPhone 15.,The iPhone 15 was average based on the user's experience.
110,education,My experience with the textbook was not worth it.,negative,Negative feedback about textbook.,The textbook was not worth it based on the user's experience.
111,education,My experience with the MOOC was annoying.,negative,Negative feedback about MOOC.,The MOOC was annoying based on the user's experience.
112,food,My experience with the Sushi was mediocre.,neutral,Neutral feedback about Sushi.,The Sushi was mediocre based on the user's experience.
113,healthcare,My experience with the telemedicine was annoying.,negative,Negative feedback about telemedicine.,The telemedicine was annoying based on the user's experience.
114,food,My experience with the Vegan meal was fine.,neutral,Neutral feedback about Vegan meal.,The Vegan meal was fine based on the user's experience.
115,technology,My experience with the quantum computer was fine.,neutral,Neutral feedback about quantum computer.,The quantum computer was fine based on the user's experience.
116,technology,My experience with the AI chatbot was enjoyed it.,positive,Positive feedback about AI chatbot.,The AI chatbot was enjoyed it based on the user's experience.
117,entertainment,My experience with the new Marvel movie was okay.,neutral,Neutral feedback about new Marvel movie.,The new Marvel movie was okay based on the user's experience.
118,entertainment,My experience with the Netflix series was awesome.,positive,Positive feedback about Netflix series.,The Netflix series was awesome based on the user's experience.
119,education,My experience with the MOOC was great.,positive,Positive feedback about MOOC.,The MOOC was great based on the user's experience.
120,entertainment,My experience with the Netflix series was disappointing.,negative,Negative feedback about Netflix series.,The Netflix series was disappointing based on the user's experience.
121,technology,My experience with the iPhone 15 was great.,positive,Positive feedback about iPhone 15.,The iPhone 15 was great based on the user's experience.
122,food,My experience with the Vegan meal was amazing.,positive,Positive feedback about Vegan meal.,The Vegan meal was amazing based on the user's experience.
123,healthcare,My experience with the telemedicine was mediocre.,neutral,Neutral feedback about telemedicine.,The telemedicine was mediocre based on the user's experience.
124,technology,My experience with the blockchain technology was annoying.,negative,Negative feedback about blockchain technology.,The blockchain technology was annoying based on the user's experience.
125,technology,My experience with the self-driving car was loved it.,positive,Positive feedback about self-driving car.,The self-driving car was loved it based on the user's experience.
126,customer_service,My experience with the online support was great.,positive,Positive feedback about online support.,The online support was great based on the user's experience.
127,education,My experience with the MOOC was fine.,neutral,Neutral feedback about MOOC.,The MOOC was fine based on the user's experience.
128,education,My experience with the textbook was annoying.,negative,Negative feedback about textbook.,The textbook was annoying based on the user's experience.
129,education,My experience with the online course was great.,positive,Positive feedback about online course.,The online course was great based on the user's experience.
130,customer_service,My experience with the hotel staff was normal.,neutral,Neutral feedback about hotel staff.,The hotel staff was normal based on the user's experience.
131,customer_service,My experience with the hotel staff was decent.,neutral,Neutral feedback about hotel staff.,The hotel staff was decent based on the user's experience.
132,healthcare,My experience with the telemedicine was normal.,neutral,Neutral feedback about telemedicine.,The telemedicine was normal based on the user's experience.
133,education,My experience with the textbook was fantastic.,positive,Positive feedback about textbook.,The textbook was fantastic based on the user's experience.
134,healthcare,My experience with the telemedicine was enjoyed it.,positive,Positive feedback about telemedicine.,The telemedicine was enjoyed it based on the user's experience.
135,technology,My experience with the self-driving car was mediocre.,neutral,Neutral feedback about self-driving car.,The self-driving car was mediocre based on the user's experience.
136,food,My experience with the Pasta was awesome.,positive,Positive feedback about Pasta.,The Pasta was awesome based on the user's experience.
137,entertainment,My experience with the live concert was terrible.,negative,Negative feedback about live concert.,The live concert was terrible based on the user's experience.
138,customer_service,My experience with the delivery service was great.,positive,Positive feedback about delivery service.,The delivery service was great based on the user's experience.
139,technology,My experience with the iPhone 15 was mediocre.,neutral,Neutral feedback about iPhone 15.,The iPhone 15 was mediocre based on the user's experience.
140,entertainment,My experience with the Netflix series was not bad.,neutral,Neutral feedback about Netflix series.,The Netflix series was not bad based on the user's experience.
141,healthcare,My experience with the telemedicine was great.,positive,Positive feedback about telemedicine.,The telemedicine was great based on the user's experience.
142,technology,My experience with the self-driving car was boring.,negative,Negative feedback about self-driving car.,The self-driving car was boring based on the user's experience.
143,food,My experience with the Sushi was boring.,negative,Negative feedback about Sushi.,The Sushi was boring based on the user's experience.
144,education,My experience with the MOOC was average.,neutral,Neutral feedback about MOOC.,The MOOC was average based on the user's experience.
145,education,My experience with the online course was normal.,neutral,Neutral feedback about online course.,The online course was normal based on the user's experience.
146,healthcare,My experience with the telemedicine was acceptable.,neutral,Neutral feedback about telemedicine.,The telemedicine was acceptable based on the user's experience.
147,healthcare,My experience with the medical app was awful.,negative,Negative feedback about medical app.,The medical app was awful based on the user's experience.
148,entertainment,My experience with the live concert was bad.,negative,Negative feedback about live concert.,The live concert was bad based on the user's experience.
149,healthcare,My experience with the telemedicine was decent.,neutral,Neutral feedback about telemedicine.,The telemedicine was decent based on the user's experience.
150,entertainment,My experience with the new Marvel movie was normal.,neutral,Neutral feedback about new Marvel movie.,The new Marvel movie was normal based on the user's experience.
151,food,My experience with the Vegan meal was terrible.,negative,Negative feedback about Vegan meal.,The Vegan meal was terrible based on the user's experience.
152,technology,My experience with the AI chatbot was okay.,neutral,Neutral feedback about AI chatbot.,The AI chatbot was okay based on the user's experience.
153,technology,My experience with the quantum computer was fantastic.,positive,Positive feedback about quantum computer.,The quantum computer was fantastic based on the user's experience.
154,food,My experience with the Vegan meal was superb.,positive,Positive feedback about Vegan meal.,The Vegan meal was superb based on the user's experience.
155,customer_service,My experience with the online support was enjoyed it.,positive,Positive feedback about online support.,The online support was enjoyed it based on the user's experience.
156,education,My experience with the online course was annoying.,negative,Negative feedback about online course.,The online course was annoying based on the user's experience.
157,healthcare,My experience with the telemedicine was fantastic.,positive,Positive feedback about telemedicine.,The telemedicine was fantastic based on the user's experience.
158,education,My experience with the online course was amazing.,positive,Positive feedback about online course.,The online course was amazing based on the user's experience.
159,technology,My experience with the iPhone 15 was fantastic.,positive,Positive feedback about iPhone 15.,The iPhone 15 was fantastic based on the user's experience.
160,food,My experience with the Pizza was loved it.,positive,Positive feedback about Pizza.,The Pizza was loved it based on the user's experience.
161,healthcare,My experience with the medical app was decent.,neutral,Neutral feedback about medical app.,The medical app was decent based on the user's experience.
162,healthcare,My experience with the hospital experience was superb.,positive,Positive feedback about hospital experience.,The hospital experience was superb based on the user's experience.
163,education,My experience with the MOOC was average.,neutral,Neutral feedback about MOOC.,The MOOC was average based on the user's experience.
164,customer_service,My experience with the delivery service was mediocre.,neutral,Neutral feedback about delivery service.,The delivery service was mediocre based on the user's experience.
165,customer_service,My experience with the restaurant service was awful.,negative,Negative feedback about restaurant service.,The restaurant service was awful based on the user's experience.
166,entertainment,My experience with the video game was satisfying.,positive,Positive feedback about video game.,The video game was satisfying based on the user's experience.
167,education,My experience with the textbook was terrible.,negative,Negative feedback about textbook.,The textbook was terrible based on the user's experience.
168,food,My experience with the Burger was boring.,negative,Negative feedback about Burger.,The Burger was boring based on the user's experience.
169,customer_service,My experience with the online support was fine.,neutral,Neutral feedback about online support.,The online support was fine based on the user's experience.
170,food,My experience with the Pizza was acceptable.,neutral,Neutral feedback about Pizza.,The Pizza was acceptable based on the user's experience.
171,healthcare,My experience with the medical app was bad.,negative,Negative feedback about medical app.,The medical app was bad based on the user's experience.
172,food,My experience with the Burger was awesome.,positive,Positive feedback about Burger.,The Burger was awesome based on the user's experience.
173,technology,My experience with the self-driving car was awful.,negative,Negative feedback about self-driving car.,The self-driving car was awful based on the user's experience.
174,healthcare,My experience with the telemedicine was acceptable.,neutral,Neutral feedback about telemedicine.,The telemedicine was acceptable based on the user's experience.
175,food,My experience with the Pasta was great.,positive,Positive feedback about Pasta.,The Pasta was great based on the user's experience.
176,healthcare,My experience with the diet plan was fantastic.,positive,Positive feedback about diet plan.,The diet plan was fantastic based on the user's experience.
177,healthcare,My experience with the medical app was okay.,neutral,Neutral feedback about medical app.,The medical app was okay based on the user's experience.
178,healthcare,My experience with the hospital experience was awesome.,positive,Positive feedback about hospital experience.,The hospital experience was awesome based on the user's experience.
179,food,My experience with the Burger was fine.,neutral,Neutral feedback about Burger.,The Burger was fine based on the user's experience.
180,education,My experience with the textbook was annoying.,negative,Negative feedback about textbook.,The textbook was annoying based on the user's experience.
181,education,My experience with the online course was enjoyed it.,positive,Positive feedback about online course.,The online course was enjoyed it based on the user's experience.
182,customer_service,My experience with the call center was average.,neutral,Neutral feedback about call center.,The call center was average based on the user's experience.
183,technology,My experience with the quantum computer was annoying.,negative,Negative feedback about quantum computer.,The quantum computer was annoying based on the user's experience.
184,healthcare,My experience with the diet plan was fantastic.,positive,Positive feedback about diet plan.,The diet plan was fantastic based on the user's experience.
185,food,My experience with the Sushi was annoying.,negative,Negative feedback about Sushi.,The Sushi was annoying based on the user's experience.
186,entertainment,My experience with the live concert was enjoyed it.,positive,Positive feedback about live concert.,The live concert was enjoyed it based on the user's experience.
187,entertainment,My experience with the live concert was average.,neutral,Neutral feedback about live concert.,The live concert was average based on the user's experience.
188,technology,My experience with the iPhone 15 was amazing.,positive,Positive feedback about iPhone 15.,The iPhone 15 was amazing based on the user's experience.
189,healthcare,My experience with the medical app was not bad.,neutral,Neutral feedback about medical app.,The medical app was not bad based on the user's experience.
190,food,My experience with the Burger was normal.,neutral,Neutral feedback about Burger.,The Burger was normal based on the user's experience.
191,healthcare,My experience with the telemedicine was terrible.,negative,Negative feedback about telemedicine.,The telemedicine was terrible based on the user's experience.
192,education,My experience with the MOOC was acceptable.,neutral,Neutral feedback about MOOC.,The MOOC was acceptable based on the user's experience.
193,education,My experience with the MOOC was awesome.,positive,Positive feedback about MOOC.,The MOOC was awesome based on the user's experience.
194,food,My experience with the Pizza was average.,neutral,Neutral feedback about Pizza.,The Pizza was average based on the user's experience.
195,customer_service,My experience with the hotel staff was normal.,neutral,Neutral feedback about hotel staff.,The hotel staff was normal based on the user's experience.
196,healthcare,My experience with the telemedicine was annoying.,negative,Negative feedback about telemedicine.,The telemedicine was annoying based on the user's experience.
197,entertainment,My experience with the stand-up comedy was loved it.,positive,Positive feedback about stand-up comedy.,The stand-up comedy was loved it based on the user's experience.
198,healthcare,My experience with the fitness tracker was acceptable.,neutral,Neutral feedback about fitness tracker.,The fitness tracker was acceptable based on the user's experience.
199,entertainment,My experience with the video game was awesome.,positive,Positive feedback about video game.,The video game was awesome based on the user's experience.
200,food,My experience with the Burger was acceptable.,neutral,Neutral feedback about Burger.,The Burger was acceptable based on the user's experience.
201,technology,My experience with the iPhone 15 was not bad.,neutral,Neutral feedback about iPhone 15.,The iPhone 15 was not bad based on the user's experience.
202,education,My experience with the coding bootcamp was hated it.,negative,Negative feedback about coding bootcamp.,The coding bootcamp was hated it based on the user's experience.
203,entertainment,My experience with the live concert was decent.,neutral,Neutral feedback about live concert.,The live concert was decent based on the user's experience.
204,healthcare,My experience with the fitness tracker was average.,neutral,Neutral feedback about fitness tracker.,The fitness tracker was average based on the user's experience.
205,technology,My experience with the blockchain technology was awful.,negative,Negative feedback about blockchain technology.,The blockchain technology was awful based on the user's experience.
206,food,My experience with the Pizza was acceptable.,neutral,Neutral feedback about Pizza.,The Pizza was acceptable based on the user's experience.
207,customer_service,My experience with the hotel staff was disappointing.,negative,Negative feedback about hotel staff.,The hotel staff was disappointing based on the user's experience.
208,education,My experience with the coding bootcamp was decent.,neutral,Neutral feedback about coding bootcamp.,The coding bootcamp was decent based on the user's experience.
209,education,My experience with the MOOC was terrible.,negative,Negative feedback about MOOC.,The MOOC was terrible based on the user's experience.
210,food,My experience with the Sushi was disappointing.,negative,Negative feedback about Sushi.,The Sushi was disappointing based on the user's experience.
211,customer_service,My experience with the restaurant service was annoying.,negative,Negative feedback about restaurant service.,The restaurant service was annoying based on the user's experience.
212,healthcare,My experience with the telemedicine was bad.,negative,Negative feedback about telemedicine.,The telemedicine was bad based on the user's experience.
213,entertainment,My experience with the video game was enjoyed it.,positive,Positive feedback about video game.,The video game was enjoyed it based on the user's experience.
214,education,My experience with the textbook was mediocre.,neutral,Neutral feedback about textbook.,The textbook was mediocre based on the user's experience.
215,education,My experience with the online course was awful.,negative,Negative feedback about online course.,The online course was awful based on the user's experience.
216,entertainment,My experience with the Netflix series was not worth it.,negative,Negative feedback about Netflix series.,The Netflix series was not worth it based on the user's experience.
217,education,My experience with the university program was average.,neutral,Neutral feedback about university program.,The university program was average based on the user's experience.
218,food,My experience with the Burger was great.,positive,Positive feedback about Burger.,The Burger was great based on the user's experience.
219,customer_service,My experience with the online support was disappointing.,negative,Negative feedback about online support.,The online support was disappointing based on the user's experience.
220,entertainment,My experience with the Netflix series was not worth it.,negative,Negative feedback about Netflix series.,The Netflix series was not worth it based on the user's experience.
221,customer_service,My experience with the restaurant service was awesome.,positive,Positive feedback about restaurant service.,The restaurant service was awesome based on the user's experience.
222,food,My experience with the Pizza was acceptable.,neutral,Neutral feedback about Pizza.,The Pizza was acceptable based on the user's experience.
223,entertainment,My experience with the new Marvel movie was boring.,negative,Negative feedback about new Marvel movie.,The new Marvel movie was boring based on the user's experience.
224,food,My experience with the Vegan meal was disappointing.,negative,Negative feedback about Vegan meal.,The Vegan meal was disappointing based on the user's experience.
225,healthcare,My experience with the hospital experience was annoying.,negative,Negative feedback about hospital experience.,The hospital experience was annoying based on the user's experience.
226,technology,My experience with the AI chatbot was disappointing.,negative,Negative feedback about AI chatbot.,The AI chatbot was disappointing based on the user's experience.
227,customer_service,My experience with the online support was enjoyed it.,positive,Positive feedback about online support.,The online support was enjoyed it based on the user's experience.
228,customer_service,My experience with the online support was disappointing.,negative,Negative feedback about online support.,The online support was disappointing based on the user's experience.
229,customer_service,My experience with the delivery service was boring.,negative,Negative feedback about delivery service.,The delivery service was boring based on the user's experience.
230,food,My experience with the Pasta was awesome.,positive,Positive feedback about Pasta.,The Pasta was awesome based on the user's experience.
231,healthcare,My experience with the fitness tracker was awful.,negative,Negative feedback about fitness tracker.,The fitness tracker was awful based on the user's experience.
232,education,My experience with the university program was satisfying.,positive,Positive feedback about university program.,The university program was satisfying based on the user's experience.
233,customer_service,My experience with the restaurant service was superb.,positive,Positive feedback about restaurant service.,The restaurant service was superb based on the user's experience.
234,education,My experience with the textbook was okay.,neutral,Neutral feedback about textbook.,The textbook was okay based on the user's experience.
235,education,My experience with the university program was okay.,neutral,Neutral feedback about university program.,The university program was okay based on the user's experience.
236,technology,My experience with the blockchain technology was hated it.,negative,Negative feedback about blockchain technology.,The blockchain technology was hated it based on the user's experience.
237,food,My experience with the Vegan meal was disappointing.,negative,Negative feedback about Vegan meal.,The Vegan meal was disappointing based on the user's experience.
238,entertainment,My experience with the new Marvel movie was terrible.,negative,Negative feedback about new Marvel movie.,The new Marvel movie was terrible based on the user's experience.
239,entertainment,My experience with the Netflix series was disappointing.,negative,Negative feedback about Netflix series.,The Netflix series was disappointing based on the user's experience.
240,healthcare,My experience with the fitness tracker was annoying.,negative,Negative feedback about fitness tracker.,The fitness tracker was annoying based on the user's experience.
241,education,My experience with the textbook was amazing.,positive,Positive feedback about textbook.,The textbook was amazing based on the user's experience.
242,entertainment,My experience with the video game was normal.,neutral,Neutral feedback about video game.,The video game was normal based on the user's experience.
243,technology,My experience with the self-driving car was fantastic.,positive,Positive feedback about self-driving car.,The self-driving car was fantastic based on the user's experience.
244,entertainment,My experience with the Netflix series was annoying.,negative,Negative feedback about Netflix series.,The Netflix series was annoying based on the user's experience.
245,healthcare,My experience with the diet plan was mediocre.,neutral,Neutral feedback about diet plan.,The diet plan was mediocre based on the user's experience.
246,healthcare,My experience with the medical app was average.,neutral,Neutral feedback about medical app.,The medical app was average based on the user's experience.
